,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Philippines,... ,... , ...,,... ,... , ...,,... ,... , ...,,61.389 528 ,56.487 547 , 66.138 491,,48.943 471 ,45.035 313 , 52.729 633,,... ,... , ...,,66.741 035 ,61.382 503 , 71.873 747,,52.471 719 ,48.258 848 , 56.507 051,,... ,... , ...,,69.262 203 ,63.689 312 , 74.629 334,,58.192 775 ,53.510 539 , 62.702 135,,... ,... , ...,,71.756 152 ,65.895 325 , 77.238 811,,62.292 404 ,57.204 548 , 67.051 968,,... ,... , ...,,68.471 246 ,62.814 357 , 73.728 307,,62.704 533 ,57.524 073 , 67.51 884,,... ,... , ...,
Poland,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Portugal,... ,... , ...,,... ,... , ...,,... ,... , ...,,86.512 337 ,75.842 202 , 97.908 005,,87.774 395 ,76.948 602 , 99.336 305,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,92.086 552 ,80.168 876 , 103.982 193,,97.731 913 ,85.083 625 , 110.356 816,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Qatar,91.095 238 ,43.378 685 , 148.933 484,,27.879 422 ,13.275 915 , 45.580 642,,... ,... , ...,,90.338 235 ,43.840 614 , 144.806 877,,52.091 812 ,25.27 985 , 83.50 011,,... ,... , ...,,89.6 ,46.592 , 142.165 333,,71.428 571 ,37.142 857 , 113.333 333,,... ,... , ...,,88.72 619 ,50.70 068 , 137.314 342,,87.213 203 ,49.836 116 , 134.972 814,,... ,... , ...,,88.115 789 ,54.724 543 , 130.782 382,,96.762 633 ,60.094 688 , 143.616 118,,... ,... , ...,,90 ,59.727 273 , 127.636 364,,97.979 798 ,65.022 957 , 138.953 168,,100 ,66.363 636 , 141.818 182,
Republic of Korea,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Republic of Moldova,41.170 805 ,35.651 857 , 50.56 334,,48.375 357 ,41.890 639 , 59.411 508,,... ,... , ...,,44.90 566 ,38.892 697 , 55.15 967,,52.196 879 ,45.207 606 , 64.115 806,,... ,... , ...,,48.569 564 ,42.082 262 , 59.683 278,,56.349 384 ,48.822 953 , 69.243 281,,70.991 462 ,61.509 329 , 87.235 768,,52.814 043 ,45.766 537 , 64.908 512,,62.214 375 ,53.912 489 , 76.461 529,,79.846 686 ,69.191 945 , 98.131 657,,55.269 838 ,47.901 892 , 67.936 984,,68.510 383 ,59.377 358 , 84.212 094,,82.704 156 ,71.678 979 , 101.6 589,,57.187 223 ,49.567 289 , 70.298 937,,67.455 392 ,58.467 272 , 82.921 361,,85.686 943 ,74.269 553 , 105.332 987,
Romania,81.564 591 ,47.007 735 , 108.187 475,"Children estimates were not available at the time of publication.",79.038 364 ,45.551 806 , 104.836 681,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",81.409 501 ,46.905 553 , 107.834 827,"Children estimates were not available at the time of publication.",76.223 776 ,43.917 704 , 100.965 828,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",81.624 976 ,47.091 332 , 107.968 489,"Children estimates were not available at the time of publication.",78.479 263 ,45.276 498 , 103.807 534,"Children estimates were not available at the time of publication.",96.68 474 ,55.779 658 , 127.888 617,"Children estimates were not available at the time of publication.",82.098 598 ,47.358 006 , 108.18 746,"Children estimates were not available at the time of publication.",79.704 716 ,45.977 112 , 105.032 863,"Children estimates were not available at the time of publication.",88.223 309 ,50.891 003 , 116.25 845,"Children estimates were not available at the time of publication.",86.655 037 ,50.073 233 , 114.17 453,"Children estimates were not available at the time of publication.",78.309 009 ,45.250 518 , 103.17 801,"Children estimates were not available at the time of publication.",84.189 406 ,48.648 479 , 110.925 876,"Children estimates were not available at the time of publication.",86.096 121 ,49.719 421 , 113.340 534,"Children estimates were not available at the time of publication.",77.318 578 ,44.650 501 , 101.78 541,"Children estimates were not available at the time of publication.",90.371 717 ,52.188 524 , 118.969 108,"Children estimates were not available at the time of publication."
Russian Federation,... ,... , ...,"Estimates were not available at the time of publication.",50.680 915 ,47.659 035 , 53.977 621,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",57.415 944 ,53.969 916 , 60.886 874,"Estimates were not available at the time of publication.",83.925 493 ,78.888 398 , 88.998 988,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",63.046 024 ,59.339 382 , 66.747 739,"Estimates were not available at the time of publication.",88.75 629 ,83.538 073 , 93.96 757,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",64.138 893 ,60.35 284 , 67.817 283,"Estimates were not available at the time of publication.",92.147 371 ,86.708 006 , 97.432 058,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",63.464 685 ,59.79 907 , 66.927 841,"Estimates were not available at the time of publication.",94.821 524 ,89.344 791 , 99.995 768,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",73.940 397 ,69.698 421 , 78.301 835,"Estimates were not available at the time of publication.",93.061 577 ,87.722 615 , 98.550 894,"Estimates were not available at the time of publication."
Rwanda,89.042 287 ,82.123 279 , 102.331 482,,78.346 228 ,72.258 355 , 90.039 081,,... ,... , ...,,89.880 073 ,82.8 505 , 102.972 939,,87.50 837 ,80.664 289 , 100.255 749,,90.716 336 ,83.621 359 , 103.93 102,,90.704 952 ,83.558 682 , 103.784 212,,90.819 492 ,83.664 198 , 103.915 268,,90.918 329 ,83.755 248 , 104.028 357,,91.672 591 ,84.497 129 , 104.821 827,,92.907 858 ,85.635 708 , 106.234 277,,91.643 661 ,84.470 464 , 104.788 747,,92.600 865 ,85.19 535 , 105.475 479,,96.395 926 ,88.686 911 , 109.79 818,,91.901 923 ,84.552 304 , 104.679 361,,93.567 041 ,86.014 125 , 106.632 019,,100 ,90.227 635 , 111.855 522,,96.668 871 ,88.865 569 , 110.166 964,
Sao Tome and Principe,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Saudi Arabia,91.772 999 ,82.299 241 , 101.520 658,,62.000 348 ,55.600 031 , 68.585 708,,89.540 265 ,80.296 993 , 99.050 774,,92.287 843 ,82.31 157 , 102.702 955,,64.062 489 ,57.137 363 , 71.292 239,,71.405 579 ,63.686 669 , 79.464 031,,92.791 697 ,82.180 838 , 104.402 323,,65.503 164 ,58.012 786 , 73.699 293,,90.950 226 ,80.549 942 , 102.330 437,,93.20 756 ,81.809 565 , 106.495 062,,69.696 141 ,61.173 267 , 79.631 897,,86.650 801 ,76.054 607 , 99.003 583,,93.531 897 ,81.318 456 , 108.510 434,,79.082 844 ,68.756 167 , 91.747 457,,100 ,86.29 481 , 115.150 825,,93.989 617 ,80.960 017 , 111.846 917,,72.630 005 ,62.561 447 , 86.429 144,,100 ,85.496 041 , 118.113 472,
Senegal,48.174 219 ,42.315 234 , 53.6 268,,72.262 272 ,63.47 368 , 80.441 251,,... ,... , ...,,52.301 561 ,46.13 121 , 57.910 344,,69.811 962 ,61.575 797 , 77.298 549,,75.300 752 ,66.417 039 , 83.375 953,,56.253 029 ,49.764 492 , 62.520 712,,75.545 169 ,66.831 369 , 83.962 373,,54.5 085 ,48.221 186 , 60.581 809,,60.562 207 ,53.599 642 , 67.399 471,,81.865 099 ,72.453 436 , 91.107 386,,81.443 719 ,72.0 805 , 90.638 434,,64.845 934 ,57.548 451 , 72.45 068,,86.416 994 ,76.691 996 , 96.551 466,,80.15 439 ,71.134 159 , 89.554 421,,68.497 277 ,60.87 265 , 76.767 654,,89.521 563 ,79.556 663 , 100.330 417,,85.590 104 ,76.062 826 , 95.924 272,
Serbia,85.348 506 ,71.953 364 , 98.05 568,"Children estimates were not available at the time of publication.",62.5 ,52.690 849 , 71.805 358,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",84.219 858 ,70.183 215 , 97.360 545,"Children estimates were not available at the time of publication.",66.368 421 ,55.307 018 , 76.723 777,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",84.477 736 ,69.431 348 , 98.891 332,"Children estimates were not available at the time of publication.",69.408 867 ,57.046 405 , 81.251 412,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",85.652 685 ,68.797 472 , 102.104 984,"Children estimates were not available at the time of publication.",75.881 007 ,60.948 719 , 90.456 347,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",87.004 813 ,68.289 598 , 105.269 059,"Children estimates were not available at the time of publication.",74.808 511 ,58.716 788 , 90.512 482,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",86.818 981 ,66.708 714 , 106.715 633,"Children estimates were not available at the time of publication.",74.65 587 ,57.362 999 , 91.765 054,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Sierra Leone,26.781 729 ,23.643 484 , 29.93 898,,54.691 468 ,48.2 828 , 61.13 895,,... ,... , ...,,29.512 261 ,26.0 496 , 33.145 747,,56.732 119 ,50.075 763 , 63.716 855,,... ,... , ...,,32.330 383 ,28.704 229 , 36.444 794,,68.410 574 ,60.73 769 , 77.116 602,,... ,... , ...,,34.954 472 ,30.785 269 , 39.38 644,,77.433 031 ,68.197 187 , 87.250 966,,... ,... , ...,,37.629 319 ,32.882 772 , 42.782 342,,84.735 497 ,74.046 997 , 96.33 932,,... ,... , ...,,41.014 681 ,35.553 355 , 46.790 361,,86.32 311 ,74.828 723 , 98.479 116,,... ,... , ...,
Singapore,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Slovakia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Slovenia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Somalia,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,72.91 441 ,63.136 184 , 83.030 463,,... ,... , ...,,... ,... , ...,,80.63 279 ,69.815 934 , 92.093 506,
South Africa,79.858 541 ,51.912 995 , 104.213 392,,55.264 975 ,35.925 655 , 72.119 405,,84.782 174 ,55.113 661 , 110.638 609,,82.806 056 ,54.004 659 , 107.103 131,,58.528 469 ,38.171 242 , 75.701 979,,85.495 189 ,55.758 464 , 110.581 313,,85.554 443 ,56.064 457 , 109.285 863,,61.391 136 ,40.230 064 , 78.420 045,,87.979 189 ,57.653 411 , 112.383 194,,87.443 162 ,57.761 944 , 111.644 561,,63.751 974 ,42.11 236 , 81.396 429,,88.262 031 ,58.30 286 , 112.690 066,,89.123 349 ,59.375 198 , 113.950 914,,66.778 085 ,44.488 476 , 85.380 811,,89.367 671 ,59.537 968 , 114.263 298,,91.00 146 ,61.006 305 , 115.835 436,,69.661 033 ,46.699 935 , 88.671 282,,91.432 393 ,61.295 197 , 116.383 969,
South Sudan,16.069 226 ,12.479 355 , 20.360 508,,53.589 848 ,41.617 856 , 67.901 001,,... ,... , ...,,19.44 285 ,14.911 277 , 24.521 234,,49.177 284 ,37.715 463 , 62.022 166,,... ,... , ...,,23.478 523 ,17.864 007 , 29.214 124,,56.475 417 ,42.970 218 , 70.271 875,,... ,... , ...,,27.077 059 ,20.849 521 , 33.914 618,,60.219 371 ,46.369 327 , 75.4 261,,... ,... , ...,,30.093 517 ,23.375 477 , 37.801 269,,63.991 479 ,49.706 099 , 80.381 402,,79.299 104 ,61.596 468 , 99.609 718,,32.81 657 ,25.118 675 , 41.224 493,,68.766 228 ,52.635 499 , 86.384 801,,... ,... , ...,
Spain,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",88.300 417 ,76.152 547 , 100.583 305,"Children estimates were not available at the time of publication.",92.719 217 ,79.963 434 , 105.616 775,"Children estimates were not available at the time of publication.",89.870 829 ,77.506 911 , 102.372 167,"Children estimates were not available at the time of publication.",90.931 629 ,78.230 919 , 103.961 357,"Children estimates were not available at the time of publication.",91.461 415 ,78.686 708 , 104.567 057,"Children estimates were not available at the time of publication.",89.999 803 ,77.429 244 , 102.896 008,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Sri Lanka,6.579 454 ,5.857 967 , 7.346 508,,100 ,100 , 320.609 591,,... ,... , ...,,7.192 575 ,6.416 578 , 7.993 604,,100 ,100 , 399.136 791,,80.472 441 ,71.79 038 , 89.434 569,,35.106 796 ,31.466 596 , 38.924 234,,93.252 212 ,83.582 954 , 103.392 258,,82.687 339 ,74.113 545 , 91.678 584,,45.472 287 ,40.768 869 , 50.370 941,,91.244 635 ,81.806 763 , 101.074 268,,84.549 356 ,75.804 009 , 93.657 718,,58.2 846 ,52.353 886 , 64.419 821,,86.488 294 ,77.687 731 , 95.592 325,,91.504 425 ,82.193 448 , 101.13 647,,67.931 836 ,61.328 083 , 75.219 643,,89.167 617 ,80.499 502 , 98.733 624,,92.471 769 ,83.482 453 , 102.392 249,
Sudan,25.07 743 ,21.843 225 , 31.4 261,,43.183 995 ,37.614 609 , 54.116 571,,... ,... , ...,,29.32 656 ,25.366 694 , 36.278 671,,46.669 306 ,40.367 708 , 57.732 663,,... ,... , ...,,33.764 347 ,29.14 198 , 41.314,,53.188 585 ,45.907 024 , 65.081 466,,... ,... , ...,,37.370 862 ,32.272 885 , 45.766 823,,53.028 628 ,45.794 685 , 64.942 356,,... ,... , ...,,39.192 042 ,33.683 632 , 47.79 479,,62.014 113 ,53.298 079 , 75.626 361,,... ,... , ...,,39.159 368 ,33.342 289 , 47.760 576,,64.718 781 ,55.10 488 , 78.934 017,,... ,... , ...,
Suriname,50.977 552 ,42.339 792 , 61.90 395,,69.318 182 ,57.572 741 , 84.175 663,,79.727 891 ,66.218 603 , 96.816 563,,54.094 203 ,44.666 916 , 65.814 614,,74.949 766 ,61.887 868 , 91.188 882,,79.902 558 ,65.977 511 , 97.214 779,,57.230 881 ,47.128 873 , 71.19 115,,76.820 773 ,63.26 089 , 95.559 584,,84.452 736 ,69.545 711 , 105.053 204,,57.505 439 ,47.226 185 , 71.621 169,,83.039 092 ,68.195 628 , 103.422 509,,86.149 312 ,70.749 888 , 107.296 188,,58.3 878 ,47.702 451 , 73.122 557,,82.89 801 ,67.727 132 , 103.818 169,,89.253 731 ,72.919 715 , 111.777 821,,44.156 318 ,35.576 639 , 55.735 659,,71.546 733 ,57.64 503 , 90.308 805,,89.030 612 ,71.731 749 , 112.377 573,
Sweden,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Switzerland,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Syrian Arab Republic,82.421 525 ,70.409 419 , 99.608 076,,18.498 368 ,15.802 418 , 22.355 651,,... ,... , ...,,81.701 493 ,69.158 833 , 99.121 854,,19.834 021 ,16.789 139 , 24.063 023,,... ,... , ...,,82.061 475 ,68.776 933 , 99.04 551,,25.470 709 ,21.347 377 , 30.742 311,,... ,... , ...,,83.401 575 ,69.282 411 , 98.998 326,,33.043 807 ,27.449 777 , 39.223 259,,... ,... , ...,,84.598 513 ,68.873 882 , 100.165 897,,40.646 834 ,33.09 166 , 48.126 456,,... ,... , ...,,84.998 285 ,69.252 462 , 101.327 287,,41.772 612 ,34.034 289 , 49.797 539,,... ,... , ...,
Tajikistan,38.997 613 ,36.273 675 , 42.006 975,,51.856 385 ,48.234 276 , 55.858 031,,... ,... , ...,,42.782 893 ,39.409 309 , 45.978 586,,61.922 943 ,57.040 097 , 66.548 313,,... ,... , ...,,48.211 028 ,44.321 405 , 52.547 112,,66.705 471 ,61.323 733 , 72.704 939,,62.773 723 ,57.709 195 , 68.419 571,,55.953 819 ,51.319 169 , 62.135 856,,69.52 975 ,63.770 607 , 77.211 719,,65.827 338 ,60.374 866 , 73.100 247,,58.874 627 ,53.859 635 , 65.904 775,,73.375 908 ,67.125 685 , 82.137 636,,70.484 728 ,64.480 778 , 78.901 224,,62.522 113 ,56.486 367 , 71.125 421,,77.647 534 ,70.151 613 , 88.332 164,,84.361 298 ,76.217 245 , 95.969 771,
Thailand,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,87.314 509 ,78.956 455 , 96.397 706,,79.462 586 ,71.856 146 , 87.728 959,,97.0 734 ,87.78 119 , 107.1 718,,91.934 689 ,83.000 326 , 101.49 707,,80.890 807 ,73.029 706 , 89.304 483,,97.37 952 ,87.916 019 , 107.508 233,,96.046 662 ,86.973 644 , 106.444 375,,81.460 199 ,73.765 087 , 90.278 827,,97.348 671 ,88.152 659 , 107.887 335,
Timor-Leste,51.6 ,39.3 192 , 66.6 672,,40.310 078 ,30.716 279 , 52.080 621,,... ,... , ...,,54.33 213 ,41.778 858 , 70.02 372,,40.863 787 ,31.422 334 , 52.665 603,,... ,... , ...,,57.704 918 ,44.744 961 , 74.921 795,,45.738 636 ,35.466 188 , 59.385 245,,... ,... , ...,,65.922 619 ,50.521 055 , 86.425 338,,52.82 167 ,40.480 893 , 69.249 838,,... ,... , ...,,81.818 182 ,62.168 496 , 108.017 763,,56.053 068 ,42.591 205 , 74.002 219,,... ,... , ...,,96.330 275 ,69.186 095 , 131.933 339,,54.285 714 ,38.988 953 , 74.349 372,,... ,... , ...,
Togo,53.193 355 ,49.855 933 , 58.014 076,,58.3 999 ,54.735 812 , 63.692 471,,... ,... , ...,,55.628 255 ,52.094 933 , 60.556 194,,60.912 065 ,57.043 133 , 66.30 808,,... ,... , ...,,58.375 364 ,54.689 598 , 63.301 667,,61.882 422 ,57.975 224 , 67.104 686,,... ,... , ...,,61.522 452 ,57.65 117 , 66.646 257,,75.023 935 ,70.303 076 , 81.272 191,,... ,... , ...,,64.945 476 ,61.041 708 , 70.43 219,,85.452 889 ,80.316 454 , 92.672 108,,... ,... , ...,,68.324 172 ,64.31 057 , 74.042 985,,86.026 399 ,80.972 906 , 93.22 691,,... ,... , ...,
Trinidad and Tobago,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",90.150 816 ,80.027 874 , 100.450 733,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",83.539 244 ,73.856 438 , 93.322 217,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",92.876 435 ,81.608 407 , 103.918 348,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",93.192 036 ,81.358 735 , 104.853 008,"Children estimates were not available at the time of publication."
Tunisia,35.773 102 ,31.698 307 , 39.913 356,,54.092 072 ,47.930 624 , 60.352 499,,... ,... , ...,,39.885 664 ,35.272 678 , 45.200 245,,56.229 327 ,49.726 111 , 63.721 625,,... ,... , ...,,41.322 662 ,36.240 009 , 46.962 318,,53.211 009 ,46.6 661 , 60.473 169,,... ,... , ...,,44.071 226 ,38.328 233 , 50.759 494,,56.290 174 ,48.954 911 , 64.832 794,,66.591 928 ,57.914 226 , 76.697 947,,46.896 819 ,40.329 809 , 54.88 274,,60.545 906 ,52.0 676 , 70.856 089,,... ,... , ...,,48.980 349 ,41.570 641 , 58.00 639,,62.528 388 ,53.069 144 , 74.051 046,,48.631 841 ,41.274 855 , 57.59 366,
